tumbol_ID,tumbol_name,amphur_ID,amphur_name,province_ID,province_name,mapTo_Shapefile_tumbol_ID
110110,แพรกษา,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110110
110111,บางโปรง,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110111
110113,บางด้วน,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110113
110115,เทพารักษ์,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110115
110117,แพรกษาใหม่,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110117
110151,เทศบาลนคร สมุทรปราการ,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110101
110152,เทศบาลเมือง ปากน้ำสมุทรปราการ,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110101
110153,เทศบาลตำบล ด่านสำโรง,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110102
110154,เทศบาลตำบล บางปู,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110112
110155,เทศบาลตำบล บางเมือง,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110103
110156,เทศบาลตำบล แพรกษา,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110110
110157,เทศบาลตำบล สำโรงเหนือ,1101,เมืองสมุทรปราการ,11,สมุทรปราการ,110102
110201,บางบ่อ,1102,บางบ่อ,11,สมุทรปราการ,110201
110202,บ้านระกาศ,1102,บางบ่อ,11,สมุทรปราการ,110202
110203,บางพลีน้อย,1102,บางบ่อ,11,สมุทรปราการ,110203
110204,บางเพรียง,1102,บางบ่อ,11,สมุทรปราการ,110204
110205,คลองด่าน,1102,บางบ่อ,11,สมุทรปราการ,110205
110206,คลองสวน,1102,บางบ่อ,11,สมุทรปราการ,110206
110207,เปร็ง,1102,บางบ่อ,11,สมุทรปราการ,110207
110208,คลองนิยมยาตรา,1102,บางบ่อ,11,สมุทรปราการ,110208
110251,เทศบาลตำบล บางบ่อ,1102,บางบ่อ,11,สมุทรปราการ,110201
